step,time,pos_x,pos_y,pos_z,local_x,local_y,local_z
179,1.7900,3.0714,44.1322,10.0000,-3.0714,42.3322,-10.0000
180,1.8000,3.0861,44.0461,10.0000,-3.0861,42.2461,-10.0000
181,1.8100,3.1008,43.9598,10.0000,-3.1008,42.1598,-10.0000
182,1.8200,3.1154,43.8732,10.0000,-3.1154,42.0732,-10.0000
183,1.8300,3.1300,43.7864,10.0000,-3.1300,41.9864,-10.0000
184,1.8400,3.1446,43.6994,10.0000,-3.1446,41.8994,-10.0000
185,1.8500,3.1592,43.6121,10.0000,-3.1592,41.8121,-10.0000
186,1.8600,3.1737,43.5246,10.0000,-3.1737,41.7246,-10.0000
187,1.8700,3.1882,43.4369,10.0000,-3.1882,41.6369,-10.0000
188,1.8800,3.2028,43.3490,10.0000,-3.2028,41.5490,-10.0000
189,1.8900,3.2172,43.2609,10.0000,-3.2172,41.4609,-10.0000
190,1.9000,3.2317,43.1726,10.0000,-3.2317,41.3726,-10.0000
191,1.9100,3.2461,43.0841,10.0000,-3.2461,41.2841,-10.0000
192,1.9200,3.2606,42.9954,10.0000,-3.2606,41.1954,-10.0000
193,1.9300,3.2750,42.9065,10.0000,-3.2750,41.1065,-10.0000
194,1.9400,3.2894,42.8174,10.0000,-3.2894,41.0174,-10.0000
195,1.9500,3.3037,42.7281,10.0000,-3.3037,40.9281,-10.0000
196,1.9600,3.3181,42.6387,10.0000,-3.3181,40.8387,-10.0000
197,1.9700,3.3324,42.5490,10.0000,-3.3324,40.7490,-10.0000
198,1.9800,3.3467,42.4592,10.0000,-3.3467,40.6592,-10.0000
199,1.9900,3.3610,42.3692,10.0000,-3.3610,40.5692,-10.0000
200,2.0000,3.3752,42.2791,10.0000,-3.3752,40.4791,-10.0000
201,2.0100,3.3895,42.1887,10.0000,-3.3895,40.3887,-10.0000
202,2.0200,3.4037,42.0982,10.0000,-3.4037,40.2982,-10.0000
203,2.0300,3.4179,42.0076,10.0000,-3.4179,40.2076,-10.0000
204,2.0400,3.4320,41.9168,10.0000,-3.4320,40.1168,-10.0000
205,2.0500,3.4462,41.8258,10.0000,-3.4462,40.0258,-10.0000
206,2.0600,3.4603,41.7347,10.0000,-3.4603,39.9347,-10.0000
207,2.0700,3.4745,41.6434,10.0000,-3.4745,39.8434,-10.0000
208,2.0800,3.4886,41.5520,10.0000,-3.4886,39.7520,-10.0000
209,2.0900,3.5026,41.4604,10.0000,-3.5026,39.6604,-10.0000
210,2.1000,3.5167,41.3687,10.0000,-3.5167,39.5687,-10.0000
211,2.1100,3.5307,41.2769,10.0000,-3.5307,39.4769,-10.0000
212,2.1200,3.5447,41.1849,10.0000,-3.5447,39.3849,-10.0000
213,2.1300,3.5587,41.0928,10.0000,-3.5587,39.2928,-10.0000
214,2.1400,3.5727,41.0006,10.0000,-3.5727,39.2006,-10.0000
215,2.1500,3.5867,40.9082,10.0000,-3.5867,39.1082,-10.0000
216,2.1600,3.6006,40.8157,10.0000,-3.6006,39.0157,-10.0000
217,2.1700,3.6145,40.7231,10.0000,-3.6145,38.9231,-10.0000
218,2.1800,3.6284,40.6303,10.0000,-3.6284,38.8303,-10.0000
219,2.1900,3.6423,40.5375,10.0000,-3.6423,38.7375,-10.0000
220,2.2000,3.6562,40.4445,10.0000,-3.6562,38.6445,-10.0000
221,2.2100,3.6700,40.3514,10.0000,-3.6700,38.5514,-10.0000
222,2.2200,3.6839,40.2582,10.0000,-3.6839,38.4582,-10.0000
223,2.2300,3.6977,40.1648,10.0000,-3.6977,38.3648,-10.0000
224,2.2400,3.7114,40.0714,10.0000,-3.7114,38.2714,-10.0000
225,2.2500,3.7252,39.9779,10.0000,-3.7252,38.1779,-10.0000
226,2.2600,3.7390,39.8842,10.0000,-3.7390,38.0842,-10.0000
227,2.2700,3.7527,39.7905,10.0000,-3.7527,37.9905,-10.0000
228,2.2800,3.7664,39.6966,10.0000,-3.7664,37.8966,-10.0000
229,2.2900,3.7801,39.6027,10.0000,-3.7801,37.8027,-10.0000
230,2.3000,3.7938,39.5086,10.0000,-3.7938,37.7086,-10.0000
231,2.3100,3.8074,39.4145,10.0000,-3.8074,37.6145,-10.0000
232,2.3200,3.8211,39.3203,10.0000,-3.8211,37.5203,-10.0000
233,2.3300,3.8347,39.2259,10.0000,-3.8347,37.4259,-10.0000
234,2.3400,3.8483,39.1315,10.0000,-3.8483,37.3315,-10.0000
235,2.3500,3.8618,39.0370,10.0000,-3.8618,37.2370,-10.0000
236,2.3600,3.8754,38.9424,10.0000,-3.8754,37.1424,-10.0000
237,2.3700,3.8890,38.8477,10.0000,-3.8890,37.0477,-10.0000
238,2.3800,3.9025,38.7530,10.0000,-3.9025,36.9530,-10.0000
239,2.3900,3.9160,38.6581,10.0000,-3.9160,36.8581,-10.0000
240,2.4000,3.9295,38.5632,10.0000,-3.9295,36.7632,-10.0000
241,2.4100,3.9429,38.4682,10.0000,-3.9429,36.6682,-10.0000
242,2.4200,3.9564,38.3731,10.0000,-3.9564,36.5731,-10.0000
243,2.4300,3.9698,38.2780,10.0000,-3.9698,36.4780,-10.0000
244,2.4400,3.9832,38.1827,10.0000,-3.9832,36.3827,-10.0000
245,2.4500,3.9966,38.0874,10.0000,-3.9966,36.2874,-10.0000
246,2.4600,4.0100,37.9921,10.0000,-4.0100,36.1921,-10.0000
247,2.4700,4.0234,37.8966,10.0000,-4.0234,36.0966,-10.0000
248,2.4800,4.0367,37.8011,10.0000,-4.0367,36.0011,-10.0000
249,2.4900,4.0501,37.7055,10.0000,-4.0501,35.9055,-10.0000
250,2.5000,4.0634,37.6099,10.0000,-4.0634,35.8099,-10.0000
251,2.5100,4.0767,37.5142,10.0000,-4.0767,35.7142,-10.0000
252,2.5200,4.0899,37.4184,10.0000,-4.0899,35.6184,-10.0000
253,2.5300,4.1032,37.3225,10.0000,-4.1032,35.5225,-10.0000
254,2.5400,4.1164,37.2266,10.0000,-4.1164,35.4266,-10.0000
255,2.5500,4.1296,37.1307,10.0000,-4.1296,35.3307,-10.0000
256,2.5600,4.1428,37.0347,10.0000,-4.1428,35.2347,-10.0000
257,2.5700,4.1560,36.9386,10.0000,-4.1560,35.1386,-10.0000
258,2.5800,4.1692,36.8424,10.0000,-4.1692,35.0424,-10.0000
259,2.5900,4.1823,36.7463,10.0000,-4.1823,34.9463,-10.0000
260,2.6000,4.1955,36.6500,10.0000,-4.1955,34.8500,-10.0000
261,2.6100,4.2086,36.5537,10.0000,-4.2086,34.7537,-10.0000
262,2.6200,4.2217,36.4574,10.0000,-4.2217,34.6574,-10.0000
263,2.6300,4.2348,36.3610,10.0000,-4.2348,34.5610,-10.0000
264,2.6400,4.2478,36.2645,10.0000,-4.2478,34.4645,-10.0000
265,2.6500,4.2609,36.1680,10.0000,-4.2609,34.3680,-10.0000
266,2.6600,4.2739,36.0714,10.0000,-4.2739,34.2714,-10.0000
267,2.6700,4.2869,35.9748,10.0000,-4.2869,34.1748,-10.0000
268,2.6800,4.2999,35.8782,10.0000,-4.2999,34.0782,-10.0000
269,2.6900,4.3129,35.7815,10.0000,-4.3129,33.9815,-10.0000
270,2.7000,4.3259,35.6848,10.0000,-4.3259,33.8848,-10.0000
271,2.7100,4.3388,35.5880,10.0000,-4.3388,33.7880,-10.0000
272,2.7200,4.3517,35.4911,10.0000,-4.3517,33.6911,-10.0000
273,2.7300,4.3647,35.3943,10.0000,-4.3647,33.5943,-10.0000
274,2.7400,4.3776,35.2974,10.0000,-4.3776,33.4974,-10.0000
275,2.7500,4.3904,35.2004,10.0000,-4.3904,33.4004,-10.0000
276,2.7600,4.4033,35.1034,10.0000,-4.4033,33.3034,-10.0000
277,2.7700,4.4161,35.0064,10.0000,-4.4161,33.2064,-10.0000
278,2.7800,4.4290,34.9093,10.0000,-4.4290,33.1093,-10.0000
279,2.7900,4.4418,34.8122,10.0000,-4.4418,33.0122,-10.0000
280,2.8000,4.4546,34.7151,10.0000,-4.4546,32.9151,-10.0000
281,2.8100,4.4674,34.6179,10.0000,-4.4674,32.8179,-10.0000
282,2.8200,4.4801,34.5207,10.0000,-4.4801,32.7207,-10.0000
283,2.8300,4.4929,34.4234,10.0000,-4.4929,32.6234,-10.0000
284,2.8400,4.5056,34.3261,10.0000,-4.5056,32.5261,-10.0000
285,2.8500,4.5183,34.2288,10.0000,-4.5183,32.4288,-10.0000
286,2.8600,4.5310,34.1315,10.0000,-4.5310,32.3315,-10.0000
287,2.8700,4.5437,34.0341,10.0000,-4.5437,32.2341,-10.0000
288,2.8800,4.5564,33.9367,10.0000,-4.5564,32.1367,-10.0000
289,2.8900,4.5690,33.8392,10.0000,-4.5690,32.0392,-10.0000
290,2.9000,4.5817,33.7417,10.0000,-4.5817,31.9417,-10.0000
291,2.9100,4.5943,33.6442,10.0000,-4.5943,31.8442,-10.0000
292,2.9200,4.6069,33.5467,10.0000,-4.6069,31.7467,-10.0000
293,2.9300,4.6195,33.4491,10.0000,-4.6195,31.6491,-10.0000
294,2.9400,4.6320,33.3516,10.0000,-4.6320,31.5516,-10.0000
295,2.9500,4.6446,33.2539,10.0000,-4.6446,31.4539,-10.0000
296,2.9600,4.6571,33.1563,10.0000,-4.6571,31.3563,-10.0000
297,2.9700,4.6697,33.0586,10.0000,-4.6697,31.2586,-10.0000
298,2.9800,4.6822,32.9609,10.0000,-4.6822,31.1609,-10.0000
299,2.9900,4.6947,32.8632,10.0000,-4.6947,31.0632,-10.0000
300,3.0000,4.7071,32.7654,10.0000,-4.7071,30.9654,-10.0000
301,3.0100,4.7196,32.6677,10.0000,-4.7196,30.8677,-10.0000
302,3.0200,4.7320,32.5699,10.0000,-4.7320,30.7699,-10.0000
303,3.0300,4.7445,32.4720,10.0000,-4.7445,30.6720,-10.0000
304,3.0400,4.7569,32.3742,10.0000,-4.7569,30.5742,-10.0000
305,3.0500,4.7693,32.2763,10.0000,-4.7693,30.4763,-10.0000
306,3.0600,4.7817,32.1784,10.0000,-4.7817,30.3784,-10.0000
307,3.0700,4.7940,32.0805,10.0000,-4.7940,30.2805,-10.0000
308,3.0800,4.8064,31.9826,10.0000,-4.8064,30.1826,-10.0000
309,3.0900,4.8187,31.8846,10.0000,-4.8187,30.0846,-10.0000
310,3.1000,4.8311,31.7867,10.0000,-4.8311,29.9867,-10.0000
311,3.1100,4.8434,31.6887,10.0000,-4.8434,29.8887,-10.0000
312,3.1200,4.8557,31.5907,10.0000,-4.8557,29.7907,-10.0000
313,3.1300,4.8679,31.4926,10.0000,-4.8679,29.6926,-10.0000
314,3.1400,4.8802,31.3946,10.0000,-4.8802,29.5946,-10.0000
315,3.1500,4.8924,31.2965,10.0000,-4.8924,29.4965,-10.0000
316,3.1600,4.9047,31.1984,10.0000,-4.9047,29.3984,-10.0000
317,3.1700,4.9169,31.1003,10.0000,-4.9169,29.3003,-10.0000
318,3.1800,4.9291,31.0022,10.0000,-4.9291,29.2022,-10.0000
319,3.1900,4.9413,30.9040,10.0000,-4.9413,29.1040,-10.0000
320,3.2000,4.9535,30.8059,10.0000,-4.9535,29.0059,-10.0000
321,3.2100,4.9656,30.7077,10.0000,-4.9656,28.9077,-10.0000
322,3.2200,4.9778,30.6095,10.0000,-4.9778,28.8095,-10.0000
323,3.2300,4.9899,30.5113,10.0000,-4.9899,28.7113,-10.0000
324,3.2400,5.0020,30.4131,10.0000,-5.0020,28.6131,-10.0000
325,3.2500,5.0141,30.3148,10.0000,-5.0141,28.5148,-10.0000
326,3.2600,5.0262,30.2166,10.0000,-5.0262,28.4166,-10.0000
327,3.2700,5.0383,30.1183,10.0000,-5.0383,28.3183,-10.0000
328,3.2800,5.0503,30.0200,10.0000,-5.0503,28.2200,-10.0000
329,3.2900,5.0623,29.9217,10.0000,-5.0623,28.1217,-10.0000
330,3.3000,5.0744,29.8234,10.0000,-5.0744,28.0234,-10.0000
331,3.3100,5.0864,29.7251,10.0000,-5.0864,27.9251,-10.0000
332,3.3200,5.0984,29.6268,10.0000,-5.0984,27.8268,-10.0000
333,3.3300,5.1104,29.5284,10.0000,-5.1104,27.7284,-10.0000
334,3.3400,5.1223,29.4301,10.0000,-5.1223,27.6301,-10.0000
335,3.3500,5.1343,29.3317,10.0000,-5.1343,27.5317,-10.0000
336,3.3600,5.1462,29.2333,10.0000,-5.1462,27.4333,-10.0000
337,3.3700,5.1582,29.1349,10.0000,-5.1582,27.3349,-10.0000
338,3.3800,5.1701,29.0365,10.0000,-5.1701,27.2365,-10.0000
339,3.3900,5.1820,28.9381,10.0000,-5.1820,27.1381,-10.0000
340,3.4000,5.1938,28.8396,10.0000,-5.1938,27.0396,-10.0000
341,3.4100,5.2057,28.7412,10.0000,-5.2057,26.9412,-10.0000
342,3.4200,5.2176,28.6427,10.0000,-5.2176,26.8427,-10.0000
343,3.4300,5.2294,28.5443,10.0000,-5.2294,26.7443,-10.0000
344,3.4400,5.2412,28.4458,10.0000,-5.2412,26.6458,-10.0000
345,3.4500,5.2531,28.3473,10.0000,-5.2531,26.5473,-10.0000
346,3.4600,5.2649,28.2488,10.0000,-5.2649,26.4488,-10.0000
347,3.4700,5.2766,28.1503,10.0000,-5.2766,26.3503,-10.0000
348,3.4800,5.2884,28.0518,10.0000,-5.2884,26.2518,-10.0000
349,3.4900,5.3002,27.9533,10.0000,-5.3002,26.1533,-10.0000
350,3.5000,5.3119,27.8547,10.0000,-5.3119,26.0547,-10.0000
351,3.5100,5.3236,27.7562,10.0000,-5.3236,25.9562,-10.0000
352,3.5200,5.3354,27.6576,10.0000,-5.3354,25.8576,-10.0000
353,3.5300,5.3471,27.5591,10.0000,-5.3471,25.7591,-10.0000
354,3.5400,5.3587,27.4605,10.0000,-5.3587,25.6605,-10.0000
